filename,width,height,class,xmin,ymin,xmax,ymax
CTR_226.jpg,481,640,peach,279,217,306,245
CTR_226.jpg,481,640,peach,303,225,337,256
CTR_226.jpg,481,640,peach,312,275,350,312
CTR_226.jpg,481,640,peach,171,351,210,397
CTR_226.jpg,481,640,peach,422,322,463,367
CTR_226.jpg,481,640,peach,421,199,462,241
CTR_226.jpg,481,640,peach,427,167,467,208
CTR_226.jpg,481,640,peach,520,267,555,306
CTR_226.jpg,481,640,peach,572,369,598,395
CTR_227.jpg,480,640,peach,147,231,201,280
CTR_227.jpg,480,640,peach,156,166,200,201
CTR_227.jpg,480,640,peach,347,391,374,418
CTR_227.jpg,480,640,peach,370,402,398,431
CTR_227.jpg,480,640,peach,390,396,414,425
CTR_227.jpg,480,640,peach,413,410,441,439
CTR_227.jpg,480,640,peach,398,372,428,398
CTR_227.jpg,480,640,peach,424,185,448,210
CTR_227.jpg,480,640,peach,49,410,78,442
CTR_227.jpg,480,640,peach,331,449,359,472
CTR_283.jpg,480,640,peach,5,225,57,269
CTR_283.jpg,480,640,peach,36,190,89,243
CTR_283.jpg,480,640,peach,1,253,49,293
CTR_283.jpg,480,640,peach,214,266,245,303
CTR_283.jpg,480,640,peach,188,301,226,347
CTR_283.jpg,480,640,peach,174,333,212,371
CTR_283.jpg,480,640,peach,314,292,357,330
CTR_283.jpg,480,640,peach,179,354,215,385
CTR_283.jpg,480,640,peach,318,321,354,364
CTR_283.jpg,480,640,peach,303,453,337,479
CTR_283.jpg,480,640,peach,563,48,601,87
CTR_283.jpg,480,640,peach,543,115,573,164
CTR_283.jpg,480,640,peach,569,162,601,202
CTR_283.jpg,480,640,peach,572,192,607,227
CTR_283.jpg,480,640,peach,556,199,587,235
CTR_283.jpg,480,640,peach,568,220,600,251
CTR_283.jpg,480,640,peach,543,229,573,260
CTR_283.jpg,480,640,peach,549,375,576,405
CTR_283.jpg,480,640,peach,559,326,586,353
CTR_144.jpg,480,640,peach,45,328,98,383
CTR_144.jpg,480,640,peach,284,364,327,421
CTR_144.jpg,480,640,peach,315,437,345,472
CTR_144.jpg,480,640,peach,351,216,404,264
CTR_144.jpg,480,640,peach,335,249,371,296
CTR_144.jpg,480,640,peach,356,270,409,326
CTR_144.jpg,480,640,peach,410,386,451,429
CTR_144.jpg,480,640,peach,619,441,639,472
CTR_144.jpg,480,640,peach,392,348,437,391
CTR_144.jpg,480,640,peach,486,134,551,188
CTR_261.jpg,480,640,peach,291,1,349,78
CTR_188.jpg,480,640,peach,292,213,347,267
CTR_188.jpg,480,640,peach,389,183,429,220
CTR_188.jpg,480,640,peach,287,312,328,370
CTR_188.jpg,480,640,peach,610,405,636,432
CTR_259.jpg,481,640,peach,189,27,212,52
CTR_259.jpg,481,640,peach,201,62,225,89
CTR_259.jpg,481,640,peach,207,77,232,106
CTR_259.jpg,481,640,peach,197,94,221,119
CTR_259.jpg,481,640,peach,212,106,234,132
CTR_259.jpg,481,640,peach,239,143,263,170
CTR_259.jpg,481,640,peach,258,159,282,185
CTR_259.jpg,481,640,peach,488,1,521,39
CTR_259.jpg,481,640,peach,623,78,639,120
CTR_259.jpg,481,640,peach,612,135,639,172
CTR_259.jpg,481,640,peach,606,127,634,158
CTR_259.jpg,481,640,peach,544,203,573,232
CTR_259.jpg,481,640,peach,524,228,553,253
CTR_259.jpg,481,640,peach,533,254,558,280
CTR_259.jpg,481,640,peach,497,187,523,218
CTR_231.jpg,640,480,peach,110,203,137,231
CTR_231.jpg,640,480,peach,134,211,168,242
CTR_231.jpg,640,480,peach,143,261,181,298
CTR_231.jpg,640,480,peach,2,337,41,383
CTR_231.jpg,640,480,peach,253,308,294,353
CTR_231.jpg,640,480,peach,252,185,293,227
CTR_231.jpg,640,480,peach,258,153,298,194
CTR_231.jpg,640,480,peach,302,461,337,479
CTR_231.jpg,640,480,peach,351,253,386,292
CTR_231.jpg,640,480,peach,496,33,537,81
CTR_231.jpg,640,480,peach,530,51,571,92
CTR_231.jpg,640,480,peach,470,98,518,141
CTR_231.jpg,640,480,peach,594,383,625,413
CTR_231.jpg,640,480,peach,403,355,429,381
CTR_231.jpg,640,480,peach,524,465,552,479
CTR_231.jpg,640,480,peach,535,449,571,477
CTR_231.jpg,640,480,peach,457,1,506,41
CTR_231.jpg,640,480,peach,520,1,563,30
CTR_231.jpg,640,480,peach,611,395,640,427
CTR_246.jpg,480,640,peach,425,158,459,193
CTR_246.jpg,480,640,peach,413,187,443,227
CTR_246.jpg,480,640,peach,453,405,492,449
CTR_246.jpg,480,640,peach,436,419,469,451
CTR_255.jpg,640,480,peach,583,41,621,75
CTR_255.jpg,640,480,peach,600,85,626,116
CTR_255.jpg,640,480,peach,292,173,328,202
CTR_255.jpg,640,480,peach,304,309,335,340
CTR_255.jpg,640,480,peach,218,445,249,477
CTR_255.jpg,640,480,peach,200,172,228,201
CTR_255.jpg,640,480,peach,191,196,222,226
CTR_255.jpg,640,480,peach,179,173,208,203
CTR_255.jpg,640,480,peach,87,204,115,231
CTR_255.jpg,640,480,peach,90,187,116,212
CTR_255.jpg,640,480,peach,272,55,311,95
CTR_255.jpg,640,480,peach,304,69,335,104
CTR_255.jpg,640,480,peach,326,89,359,120
CTR_255.jpg,640,480,peach,332,52,371,88
CTR_255.jpg,640,480,peach,290,233,314,258
CTR_255.jpg,640,480,peach,239,290,263,316
CTR_255.jpg,640,480,peach,117,277,156,305
CTR_255.jpg,640,480,peach,612,28,640,65
CTR_47.jpg,480,640,peach,101,338,155,385
CTR_47.jpg,480,640,peach,272,237,321,284
CTR_47.jpg,480,640,peach,209,326,265,379
CTR_47.jpg,480,640,peach,253,324,302,371
CTR_47.jpg,480,640,peach,210,393,257,429
CTR_47.jpg,480,640,peach,602,191,632,222
CTR_47.jpg,480,640,peach,295,62,344,130
CTR_179.jpg,480,640,peach,521,125,566,169
CTR_179.jpg,480,640,peach,449,185,481,221
CTR_179.jpg,480,640,peach,614,134,636,163
CTR_179.jpg,480,640,peach,328,291,362,328
CTR_179.jpg,480,640,peach,318,320,349,354
CTR_179.jpg,480,640,peach,306,300,334,334
CTR_179.jpg,480,640,peach,444,314,473,342
CTR_46.jpg,640,480,peach,8,166,48,205
CTR_46.jpg,640,480,peach,57,188,95,225
CTR_46.jpg,640,480,peach,19,218,53,250
CTR_46.jpg,640,480,peach,48,253,80,287
CTR_46.jpg,640,480,peach,303,401,336,432
CTR_46.jpg,640,480,peach,405,31,442,68
CTR_46.jpg,640,480,peach,456,178,488,206
CTR_46.jpg,640,480,peach,366,349,387,370
CTR_46.jpg,640,480,peach,103,183,126,207
CTR_46.jpg,640,480,peach,431,1,469,37
CTR_46.jpg,640,480,peach,469,1,503,35
CTR_46.jpg,640,480,peach,341,373,364,401
CTR_46.jpg,640,480,peach,476,64,505,103
CTR_292.jpg,640,480,peach,26,310,68,354
CTR_292.jpg,640,480,peach,68,239,111,285
